순번,호출부호,입항횟수,입항횟수.1,입항횟수.2,신고톤수,선박명,선사/대리점,선사/대리점.1,신청시설,신청시설.1,신청시설.2,신청일시(FROM ~ TO),신청일시(FROM ~ TO).1,지정시설,지정시설.1,지정시설.2,지정일시(FROM ~ TO),지정일시(FROM ~ TO).1,사용목적명,예보일시,허가유무
1371,210011,2023,33,44,220,11청경호,BSZ2594,(주)세종유업,MW5,01,5물량장 1선석,2023-09-27 02:40,2023-09-27 14:10,MW5,01,5물량장 1선석,2023-09-27 02:40,2023-09-27 14:10,접안대기,2023-10-06,허가완료
1374,210011,2023,33,46,220,11청경호,BSZ2594,(주)세종유업,MW5,01,5물량장 1선석,2023-09-27 17:30,2023-09-28 12:35,MW5,01,5물량장 1선석,2023-09-27 17:30,2023-09-28 12:35,접안대기,2023-10-06,허가완료
1375,130063,2023,41,3,149,13대신호,BSB2344,명성마린,MW5,01,5물량장 1선석,2023-10-05 20:40,2023-10-06 06:30,,,,,,접안대기,2023-10-06,미허가
1378,130063,2023,41,4,149,13대신호,BSB2344,명성마린,MSN,05,신항 2부두 2선석,2023-10-05 09:10,2023-10-06 11:05,,,,,,접안대기,2023-10-06,미허가
1382,975935,2023,97,1,149,2금진호,BSZ3466,(주)신진해운,MW5,01,5물량장 1선석,2023-09-26 17:25,2023-09-27 07:40,MW5,01,5물량장 1선석,2023-09-26 17:25,2023-09-27 07:40,접안대기,2023-10-06,허가완료
1383,975935,2023,97,3,149,2금진호,BSZ3466,(주)신진해운,MW5,01,5물량장 1선석,2023-09-27 15:20,2023-09-28 08:40,,,,,,접안대기,2023-10-06,미허가
1385,975935,2023,97,5,149,2금진호,BSZ3466,(주)신진해운,MW5,01,5물량장 1선석,2023-09-28 14:00,2023-10-04 07:40,,,,,,접안대기,2023-10-06,미허가
1387,975935,2023,97,6,149,2금진호,BSZ3466,(주)신진해운,MW5,01,5물량장 1선석,2023-10-04 08:08,2023-10-04 10:00,,,,,,접안대기,2023-10-06,미허가
1389,975935,2023,97,8,149,2금진호,BSZ3466,(주)신진해운,MW5,01,5물량장 1선석,2023-10-04 12:25,2023-10-04 12:30,,,,,,접안대기,2023-10-06,미허가
1391,975935,2023,97,11,149,2금진호,BSZ3466,(주)신진해운,MW5,01,5물량장 1선석,2023-10-04 22:15,2023-10-05 08:20,,,,,,접안대기,2023-10-06,미허가
1396,975935,2023,98,1,149,2금진호,BSZ3466,(주)신진해운,*NB,01,남부민방파제,2023-10-05 10:15,2023-10-05 10:30,*NB,01,남부민방파제,2023-10-05 10:15,2023-10-05 10:30,접안대기,2023-10-06,허가완료
1413,150041,2023,58,1,241,5대보호,BSZ7387,평길그린워터,MW5,01,5물량장 1선석,2023-10-04 13:30,2023-10-05 10:10,MK4,05,감천 4부두 5선석,2023-10-04 13:30,2023-10-05 10:10,접안대기,2023-10-06,허가완료
1418,975935,2023,100,1,149,2금진호,BSZ3466,(주)신진해운,*NB,01,남부민방파제,2023-10-05 12:30,2023-10-05 14:55,*NB,01,남부민방파제,2023-10-05 12:30,2023-10-05 14:55,접안대기,2023-10-06,허가완료
1444,D7PE,2023,40,1,4.914,HEUNG-A TOKYO,ICZ0830,흥아라인(주),WAE,01,E박지 E1 묘지,2023-10-06 22:00,2023-10-07 19:00,WAE,01,E박지 E1 묘지,2023-10-06 22:00,2023-10-07 19:00,접안대기,2023-10-06,허가완료
1517,950023,2023,14,1,78,대성102호,BSK0118,(주)대성해운,OLH,01,청학안벽,2023-10-06 11:35,2023-10-06 12:00,OLH,01,청학안벽,2023-10-06 11:35,2023-10-06 12:00,접안대기,2023-10-06,허가완료
1527,3FBA5,2023,16,2,4.713,WAKABA,BSC2203,주식회사 스완쉬핑,WAM,07,M박지 M7 묘지,2023-10-07 10:00,2023-10-09 18:00,WAN,03,남외항 N-3박지,2023-10-07 10:00,2023-10-09 18:00,접안대기,2023-10-06,허가완료
1541,UDYF,2023,1,2,1.125,ZEVS,KMC0337,그로발스타해운(주),WAN,02,남외항 N-2박지,2023-10-06 19:00,2023-10-08 20:00,WAN,02,남외항 N-2박지,2023-10-06 19:00,2023-10-08 20:00,접안대기,2023-10-06,허가완료
1542,UBIH4,2023,6,2,6.989,TAVRIA,BSC0303,피닉스해운(주),WAN,03,남외항 N-3박지,2023-10-06 20:00,2023-10-10 18:00,MK1,04,감천 1부두 4선석,2023-10-06 20:00,2023-10-10 18:00,접안대기,2023-10-06,허가완료
1559,046553,2023,1,20,474,청해호,BSM0508,부성개발,MWB,01,봉래동물량장,2023-10-07 00:00,2023-10-21 00:00,MWB,01,봉래동물량장,2023-10-07 00:00,2023-10-21 00:00,접안대기,2023-10-06,허가완료
1568,140025,2023,73,1,432,3성원호,BSZ9149,(주)아이앤에이코리아,MW5,01,5물량장 1선석,2023-10-04 05:25,2023-10-04 09:05,MW5,01,5물량장 1선석,2023-10-04 05:25,2023-10-04 09:05,접안대기,2023-10-06,허가완료
1585,D5WP9,2023,15,2,9.957,MSC ANDREA F,KMC0326,엠에스씨코리아(주),WAU,01,신항 U-1 정박지,2023-09-29 01:00,2023-10-09 00:00,WAU,01,신항 U-1 정박지,2023-09-29 01:00,2023-10-09 00:00,접안대기,2023-10-06,허가완료
1619,6YRM3,2023,2,2,6.778,SHUN YUE 19,ICC2034,씨레인보우인터내셔널(주),WAU,01,신항 U-1 정박지,2023-10-06 22:00,2023-10-10 06:00,MSL,01,신항 다목적부두,2023-10-06 22:00,2023-10-10 06:00,접안대기,2023-10-06,허가완료
1634,CQIU6,2023,4,1,27.971,AS COLUMBIA,KMC2009,벤라인에이전시즈코리아주식회사,WAU,01,신항 U-1 정박지,2023-10-07 06:00,2023-10-08 18:00,WAU,01,신항 U-1 정박지,2023-10-07 06:00,2023-10-08 18:00,접안대기,2023-10-07,허가완료
1656,031342,2023,28,1,3.105,금오티1호,BSK3141,금오로지스 주식회사,WAN,02,남외항 N-2박지,2023-10-07 15:00,2023-10-07 18:00,WAN,03,남외항 N-3박지,2023-10-07 15:00,2023-10-07 18:00,접안대기,2023-10-07,허가완료
1664,170022,2023,37,3,5.770,이에스 릴리,BSK3046,에스토라해운(주),WAN,03,남외항 N-3박지,2023-10-07 16:00,2023-10-08 09:00,WAN,03,남외항 N-3박지,2023-10-07 16:00,2023-10-08 09:00,접안대기,2023-10-07,허가완료
1675,V7YB6,2023,25,3,35.878,CALIDRIS,KMC2009,벤라인에이전시즈코리아주식회사,WAN,05,남외항 N-5박지,2023-10-08 00:00,2023-10-09 23:00,WAM,09,M박지 M9 묘지,2023-10-08 00:00,2023-10-09 23:00,접안대기,2023-10-07,허가완료
1691,3E5968,2023,1,3,9.940,SUNNY VIOLET,KMS8832,고려해운(주),WAU,04,신항 U-4 정박지,2023-10-07 10:00,2023-10-08 02:00,MBS,02,신선대부두 2선석,2023-10-07 10:00,2023-10-08 02:00,접안대기,2023-10-08,허가완료
1695,C6TN2,2023,67,1,5.403,MAGNA,KMC0178,고려훼리(주),WAU,02,신항 U-2 정박지,2023-10-07 10:00,2023-10-08 04:00,WAU,04,신항 U-4 정박지,2023-10-07 10:00,2023-10-08 04:00,접안대기,2023-10-08,허가완료
1696,C6TI4,2023,42,1,5.403,MARVEL,KMC0178,고려훼리(주),WAU,01,신항 U-1 정박지,2023-10-07 02:00,2023-10-08 02:00,WAU,06,신항 U-6 정박지,2023-10-07 02:00,2023-10-08 02:00,접안대기,2023-10-08,허가완료
1704,V7TQ9,2023,21,2,17.791,HEUNG-A HOCHIMINH,ICZ0830,흥아라인(주),WAN,04,남외항 N-4박지,2023-10-08 12:00,2023-10-15 23:00,WAN,04,남외항 N-4박지,2023-10-08 12:00,2023-10-15 23:00,접안대기,2023-10-08,허가완료
1720,060259,2023,5,18,2.883,에스디10001호,BSK3141,금오로지스 주식회사,OLH,01,청학안벽,2023-10-08 20:00,2023-10-10 08:00,OLH,01,청학안벽,2023-10-08 20:00,2023-10-10 08:00,접안대기,2023-10-08,허가완료
1736,V7CN8,2023,29,1,9.910,SUNNY IRIS,KMS8832,고려해운(주),WAN,04,남외항 N-4박지,2023-10-08 18:00,2023-10-10 15:00,MB6,05,자성대부두 65선석,2023-10-08 18:00,2023-10-10 15:00,접안대기,2023-10-08,허가완료
1745,120004,2023,41,13,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-04 15:35,2023-10-05 12:25,MW5,01,5물량장 1선석,2023-10-04 15:35,2023-10-05 12:25,접안대기,2023-10-08,허가완료
1746,120004,2023,41,14,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-05 12:50,2023-10-05 14:25,OLD,01,동명호안,2023-10-05 12:50,2023-10-05 14:25,접안대기,2023-10-08,허가완료
1747,120004,2023,41,15,299,뉴동신호,BSZ9968,(주)동신기업,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-05 14:30,2023-10-05 20:30,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-05 14:30,2023-10-05 20:30,접안대기,2023-10-08,허가완료
1748,120004,2023,41,17,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-06 02:30,2023-10-06 06:20,MW5,01,5물량장 1선석,2023-10-06 02:30,2023-10-06 06:20,접안대기,2023-10-08,허가완료
1749,120004,2023,41,18,299,뉴동신호,BSZ9968,(주)동신기업,MBR,04,감만부두 4선석,2023-10-06 06:40,2023-10-06 08:35,MBR,04,감만부두 4선석,2023-10-06 06:40,2023-10-06 08:35,접안대기,2023-10-08,허가완료
1750,120004,2023,41,19,299,뉴동신호,BSZ9968,(주)동신기업,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-06 08:55,2023-10-06 12:40,MBE,Q1,감만부두 동측안벽 1 선석,2023-10-06 08:55,2023-10-06 12:40,접안대기,2023-10-08,허가완료
1751,120004,2023,41,20,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-06 12:45,2023-10-06 15:35,OLD,01,동명호안,2023-10-06 12:45,2023-10-06 15:35,접안대기,2023-10-08,허가완료
1752,120004,2023,41,21,299,뉴동신호,BSZ9968,(주)동신기업,MSN,08,신항 2부두 5선석,2023-10-06 18:35,2023-10-06 21:55,MSN,08,신항 2부두 5선석,2023-10-06 18:35,2023-10-06 21:55,접안대기,2023-10-08,허가완료
1753,120004,2023,41,22,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-07 00:30,2023-10-07 03:00,OLD,01,동명호안,2023-10-07 00:30,2023-10-07 03:00,접안대기,2023-10-08,허가완료
1754,120004,2023,41,23,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-07 03:30,2023-10-07 10:30,MW5,01,5물량장 1선석,2023-10-07 03:30,2023-10-07 10:30,접안대기,2023-10-08,허가완료
1755,120004,2023,41,25,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-07 17:10,2023-10-08 14:35,MW5,01,5물량장 1선석,2023-10-07 17:10,2023-10-08 14:35,접안대기,2023-10-08,허가완료
1758,130017,2023,84,4,556,동방5호,BSK3453,서진유업 주식회사,WAU,01,신항 U-1 정박지,2023-10-08 16:00,2023-10-09 23:00,MBE,Q2,감만부두 동측안벽 2선석,2023-10-08 16:00,2023-10-09 23:00,접안대기,2023-10-08,허가완료
1767,176801,2023,97,1,759,아크,BSB2461,노아해운,MW5,01,5물량장 1선석,2023-10-07 22:10,2023-10-08 18:20,MW5,01,5물량장 1선석,2023-10-07 22:10,2023-10-08 18:20,접안대기,2023-10-08,허가완료
1784,120039,2023,66,1,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-10-05 20:20,2023-10-07 02:52,MW5,01,5물량장 1선석,2023-10-05 20:20,2023-10-07 02:52,접안대기,2023-10-09,허가완료
1785,120039,2023,67,1,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-10-07 13:10,2023-10-08 23:55,MW5,01,5물량장 1선석,2023-10-07 13:10,2023-10-08 23:55,접안대기,2023-10-09,허가완료
1786,D7DD,2023,6,1,1.268,OCEAN ACE 11,BSC0147,한국유니온마린(주),WAO,02,O박지 O2 묘지,2023-10-10 23:00,2023-10-11 07:00,MQO,01,미창석유안벽,2023-10-10 23:00,2023-10-11 07:00,접안대기,2023-10-09,허가완료
1832,3FBA5,2023,16,3,4.713,WAKABA,BSC2203,주식회사 스완쉬핑,WAN,03,남외항 N-3박지,2023-10-09 18:00,2023-10-11 07:00,MBU,02,연합부두 연2선석,2023-10-09 18:00,2023-10-11 07:00,접안대기,2023-10-09,허가완료
1842,3FRF8,2023,34,3,16.737,SONG YUN HE,KMC0319,코스코쉬핑한국(주),WAU,02,신항 U-2 정박지,2023-10-10 07:00,2023-10-11 10:00,WAU,02,신항 U-2 정박지,2023-10-10 07:00,2023-10-11 10:00,접안대기,2023-10-09,허가완료
1851,210031,2023,93,1,1.653,선영,BSU2693,선영해운(주),WAU,02,신항 U-2 정박지,2023-10-04 23:50,2023-10-05 12:35,WAU,02,신항 U-2 정박지,2023-10-04 23:50,2023-10-05 12:35,접안대기,2023-10-09,허가완료
1855,066597,2023,70,1,164,한성8호,BSZ9757,(주)교성,MW5,01,5물량장 1선석,2023-10-08 21:30,2023-10-09 09:44,MW5,01,5물량장 1선석,2023-10-08 21:30,2023-10-09 09:44,접안대기,2023-10-09,허가완료
1856,066597,2023,70,2,164,한성8호,BSZ9757,(주)교성,WAN,01,남외항 N-1박지,2023-10-09 11:05,2023-10-09 13:35,WAN,04,남외항 N-4박지,2023-10-09 11:05,2023-10-09 13:35,접안대기,2023-10-09,허가완료
1862,176801,2023,97,3,759,아크,BSB2461,노아해운,MW5,01,5물량장 1선석,2023-10-08 21:25,2023-10-09 09:15,MW5,01,5물량장 1선석,2023-10-08 21:25,2023-10-09 09:15,접안대기,2023-10-09,허가완료
1864,231023,2023,6,1,2.070,제니스 그레이스,KMC0151,대호상선(주),WAN,02,남외항 N-2박지,2023-10-10 04:00,2023-10-12 11:00,WAN,02,남외항 N-2박지,2023-10-10 04:00,2023-10-12 11:00,접안대기,2023-10-09,허가완료
1865,D8TG,2023,39,2,9.524,NAGOYA TRADER,ICZ0830,흥아라인(주),WAN,04,남외항 N-4박지,2023-10-10 02:00,2023-10-13 22:00,WAN,04,남외항 N-4박지,2023-10-10 02:00,2023-10-13 22:00,접안대기,2023-10-09,허가완료
1882,166803,2023,14,1,396,로원호,BSZ3632,로원,MW5,01,5물량장 1선석,2023-10-07 20:00,2023-10-09 07:10,MW5,01,5물량장 1선석,2023-10-07 20:00,2023-10-09 07:10,접안대기,2023-10-10,허가완료
1894,D7TK,2023,29,1,285, ANETA,BSC0018,비엔비해운(주),MDD,01,다대포조선소,2023-10-08 08:00,2023-10-08 10:30,MDD,01,다대포조선소,2023-10-08 08:00,2023-10-08 10:30,접안대기,2023-10-10,허가완료
1904,922068,2023,15,1,1.105,금오티5호,BSK3141,금오로지스 주식회사,MK4,05,감천 4부두 5선석,2023-10-07 20:00,2023-10-08 23:59,MK4,05,감천 4부두 5선석,2023-10-07 20:00,2023-10-08 23:59,접안대기,2023-10-10,허가완료
1905,083802,2023,6,26,1.046,금오6001호,BSK3141,금오로지스 주식회사,MK4,05,감천 4부두 5선석,2023-10-07 20:00,2023-10-08 23:59,MK4,05,감천 4부두 5선석,2023-10-07 20:00,2023-10-08 23:59,접안대기,2023-10-10,허가완료
1911,100611,2023,74,1,753,천진호,BSZ7411,광명해운(주),MW5,01,5물량장 1선석,2023-09-29 09:20,2023-09-30 08:30,MW5,01,5물량장 1선석,2023-09-29 09:20,2023-09-30 08:30,접안대기,2023-10-10,허가완료
1916,5IM330,2023,11,4,1.950,TAI XIANG,BSC2297,케이엠에이전시,WAN,03,남외항 N-3박지,2023-09-25 12:55,2023-09-26 05:36,WAN,03,남외항 N-3박지,2023-09-25 12:55,2023-09-26 05:36,접안대기,2023-10-10,허가완료
1921,954325,2023,57,2,94,삼양505호,BSZ7604,삼양해운(주),OLT,01,대교동호안,2023-09-12 23:28,2023-09-15 09:15,,,,,,접안대기,2023-10-10,미허가
1922,954325,2023,58,1,94,삼양505호,BSZ7604,삼양해운(주),OLT,01,대교동호안,2023-09-15 19:15,2023-10-02 08:10,OLT,01,대교동호안,2023-09-15 19:15,2023-10-02 08:10,접안대기,2023-10-10,허가완료
1923,935257,2023,21,29,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-10-05 20:30,2023-10-06 11:45,,,,,,접안대기,2023-10-10,미허가
1925,935257,2023,22,1,41,해광호,BSZ3365,해광마린,*LP,01,대평동호안,2023-10-06 16:10,2023-10-06 17:35,*LP,01,대평동호안,2023-10-06 16:10,2023-10-06 17:35,접안대기,2023-10-10,허가완료
1926,935257,2023,23,1,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-10-06 18:10,2023-10-07 10:00,MW5,01,5물량장 1선석,2023-10-06 18:10,2023-10-07 10:00,접안대기,2023-10-10,허가완료
1928,935257,2023,23,3,41,해광호,BSZ3365,해광마린,MW5,01,5물량장 1선석,2023-10-07 14:10,2023-10-08 16:00,,,,,,접안대기,2023-10-10,미허가
1929,021734,2023,2,7,322,대명2000호,BSZ9932,명성티엔비,MKD,01,다대부두 1선석,2023-10-10 09:00,2023-10-10 23:00,MKD,01,다대부두 1선석,2023-10-10 09:00,2023-10-10 23:00,접안대기,2023-10-10,허가완료
1934,120004,2023,41,26,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-08 15:00,2023-10-08 16:30,OLD,01,동명호안,2023-10-08 15:00,2023-10-08 16:30,접안대기,2023-10-10,허가완료
1935,120004,2023,41,27,299,뉴동신호,BSZ9968,(주)동신기업,MW5,01,5물량장 1선석,2023-10-08 17:00,2023-10-09 06:30,MW5,01,5물량장 1선석,2023-10-08 17:00,2023-10-09 06:30,접안대기,2023-10-10,허가완료
1937,120004,2023,41,28,299,뉴동신호,BSZ9968,(주)동신기업,MBS,02,신선대부두 2선석,2023-10-09 06:55,2023-10-09 10:00,MBS,02,신선대부두 2선석,2023-10-09 06:55,2023-10-09 10:00,접안대기,2023-10-10,허가완료
1938,120004,2023,41,29,299,뉴동신호,BSZ9968,(주)동신기업,OLD,01,동명호안,2023-10-09 10:15,2023-10-09 12:15,OLD,01,동명호안,2023-10-09 10:15,2023-10-09 12:15,접안대기,2023-10-10,허가완료
1941,220023,2023,101,1,749,창용1호,BSB2532,창용해운,MW5,01,5물량장 1선석,2023-10-05 05:30,2023-10-05 06:05,MW5,01,5물량장 1선석,2023-10-05 05:30,2023-10-05 06:05,접안대기,2023-10-10,허가완료
1950,130017,2023,84,3,556,동방5호,BSK3453,서진유업 주식회사,MW5,01,5물량장 1선석,2023-10-06 13:25,2023-10-07 08:20,MW5,01,5물량장 1선석,2023-10-06 13:25,2023-10-07 08:20,접안대기,2023-10-10,허가완료
1952,130017,2023,84,5,556,동방5호,BSK3453,서진유업 주식회사,MW5,01,5물량장 1선석,2023-10-07 11:50,2023-10-08 13:30,MW5,01,5물량장 1선석,2023-10-07 11:50,2023-10-08 13:30,접안대기,2023-10-10,허가완료
1953,130017,2023,84,6,556,동방5호,BSK3453,서진유업 주식회사,MBS,02,신선대부두 2선석,2023-10-08 14:05,2023-10-08 17:40,MBS,02,신선대부두 2선석,2023-10-08 14:05,2023-10-08 17:40,접안대기,2023-10-10,허가완료
1954,130017,2023,84,7,556,동방5호,BSK3453,서진유업 주식회사,WAU,01,신항 U-1 정박지,2023-10-08 20:00,2023-10-09 07:15,WAU,01,신항 U-1 정박지,2023-10-08 20:00,2023-10-09 07:15,접안대기,2023-10-10,허가완료
1956,224809,2023,65,3,791,동해씨스타,USZ2623,디에이치탱커 주식회사,MW5,01,5물량장 1선석,2023-10-06 11:40,2023-10-06 19:20,MW5,01,5물량장 1선석,2023-10-06 11:40,2023-10-06 19:20,접안대기,2023-10-10,허가완료
1957,130017,2023,84,8,556,동방5호,BSK3453,서진유업 주식회사,MS5,04,신항 5부두 4선석,2023-10-09 08:30,2023-10-09 11:55,MS5,04,신항 5부두 4선석,2023-10-09 08:30,2023-10-09 11:55,접안대기,2023-10-10,허가완료
1978,130063,2023,41,5,149,13대신호,BSB2344,명성마린,MW5,01,5물량장 1선석,2023-10-06 13:25,2023-10-08 07:30,,,,,,접안대기,2023-10-10,미허가
1980,130063,2023,41,6,149,13대신호,BSB2344,명성마린,OLD,01,동명호안,2023-10-08 07:55,2023-10-08 08:55,,,,,,접안대기,2023-10-10,미허가
1982,130063,2023,41,7,149,13대신호,BSB2344,명성마린,MW5,01,5물량장 1선석,2023-10-08 09:15,2023-10-08 15:30,,,,,,접안대기,2023-10-10,미허가
1984,130063,2023,41,8,149,13대신호,BSB2344,명성마린,MB6,02,자성대부두 62선석,2023-10-08 15:55,2023-10-08 17:25,,,,,,접안대기,2023-10-10,미허가
1985,130063,2023,41,9,149,13대신호,BSB2344,명성마린,MW5,01,5물량장 1선석,2023-10-08 17:35,2023-10-10 07:00,,,,,,접안대기,2023-10-10,미허가
1986,130010,2023,95,1,200,32대영호,BSB2287,보성마린,MW5,01,5물량장 1선석,2023-10-06 17:10,2023-10-07 09:20,MW5,01,5물량장 1선석,2023-10-06 17:10,2023-10-07 09:20,접안대기,2023-10-10,허가완료
1991,960771,2023,78,15,200,리우3호,BSZ3592,청해해상급유 주식회사,MW5,01,5물량장 1선석,2023-10-10 07:05,2023-10-10 07:50,MW5,01,5물량장 1선석,2023-10-10 07:05,2023-10-10 07:50,접안대기,2023-10-10,허가완료
2001,200036,2023,22,19,299,극동1호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-05 11:50,2023-10-08 07:20,MW5,01,5물량장 1선석,2023-10-05 11:50,2023-10-08 07:20,접안대기,2023-10-10,허가완료
2003,200036,2023,22,21,299,극동1호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-08 12:45,2023-10-09 04:20,MW5,01,5물량장 1선석,2023-10-08 12:45,2023-10-09 04:20,접안대기,2023-10-10,허가완료
2007,140025,2023,74,1,432,3성원호,BSZ9149,(주)아이앤에이코리아,MW5,01,5물량장 1선석,2023-10-07 00:15,2023-10-07 06:15,MW5,01,5물량장 1선석,2023-10-07 00:15,2023-10-07 06:15,접안대기,2023-10-10,허가완료
2016,200043,2023,42,33,299,극동3호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-05 05:55,2023-10-06 07:25,MW5,01,5물량장 1선석,2023-10-05 05:55,2023-10-06 07:25,접안대기,2023-10-10,허가완료
2017,130010,2023,96,1,200,32대영호,BSB2287,보성마린,MW5,01,5물량장 1선석,2023-10-08 19:45,2023-10-09 10:35,MW5,01,5물량장 1선석,2023-10-08 19:45,2023-10-09 10:35,접안대기,2023-10-10,허가완료
2023,200043,2023,42,35,299,극동3호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-06 11:17,2023-10-06 17:58,MW5,01,5물량장 1선석,2023-10-06 11:17,2023-10-06 17:58,접안대기,2023-10-10,허가완료
2031,200035,2023,81,1,497,우원호,BSZ3327,우원마린 주식회사,MW5,01,5물량장 1선석,2023-10-05 00:55,2023-10-07 00:25,MW5,01,5물량장 1선석,2023-10-05 00:55,2023-10-07 00:25,접안대기,2023-10-10,허가완료
2032,200043,2023,42,37,299,극동3호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-06 23:10,2023-10-07 07:25,MW5,01,5물량장 1선석,2023-10-06 23:10,2023-10-07 07:25,접안대기,2023-10-10,허가완료
2044,200043,2023,42,42,299,극동3호,BSZ3329,다온물류(주)초량지사,MW5,01,5물량장 1선석,2023-10-08 11:00,2023-10-09 07:05,MW5,01,5물량장 1선석,2023-10-08 11:00,2023-10-09 07:05,접안대기,2023-10-10,허가완료
2049,130060,2023,94,2,751,대경에이스,BSZ7090,에이치비씨해운 주식회사,MWB,01,봉래동물량장,2023-10-05 12:10,2023-10-05 13:45,MWB,01,봉래동물량장,2023-10-05 12:10,2023-10-05 13:45,접안대기,2023-10-10,허가완료
2066,971467,2023,130,1,81,제7천양,BSU2855,(주)보해해운,MW5,01,5물량장 1선석,2023-10-04 17:25,2023-10-09 08:10,MW5,01,5물량장 1선석,2023-10-04 17:25,2023-10-09 08:10,접안대기,2023-10-10,허가완료
2068,971467,2023,130,2,81,제7천양,BSU2855,(주)보해해운,MBM,01,미원안벽,2023-10-09 08:30,2023-10-09 09:20,,,,,,접안대기,2023-10-10,미허가
2097,210003,2023,70,1,373,21동방호,BSK3374,(주)오성유업,MW5,01,5물량장 1선석,2023-10-09 00:20,2023-10-09 23:50,MW5,01,5물량장 1선석,2023-10-09 00:20,2023-10-09 23:50,접안대기,2023-10-10,허가완료
2103,210003,2023,70,3,373,21동방호,BSK3374,(주)오성유업,OLD,01,동명호안,2023-10-10 06:10,2023-10-10 15:00,OLD,01,동명호안,2023-10-10 06:10,2023-10-10 15:00,접안대기,2023-10-10,허가완료
2109,200035,2023,82,1,497,우원호,BSZ3327,우원마린 주식회사,MW5,01,5물량장 1선석,2023-10-10 02:05,2023-10-10 07:18,MW5,01,5물량장 1선석,2023-10-10 02:05,2023-10-10 07:18,접안대기,2023-10-10,허가완료
2135,091031,2023,25,4,149,광진호,BSZ7411,광명해운(주),MW5,01,5물량장 1선석,2023-09-25 12:30,2023-09-27 09:30,,,,,,접안대기,2023-10-10,미허가
2137,091031,2023,25,6,149,광진호,BSZ7411,광명해운(주),MW5,01,5물량장 1선석,2023-09-27 11:30,2023-09-28 08:10,,,,,,접안대기,2023-10-10,미허가
2141,216808,2023,19,1,1.693,뉴일출봉,PHK0008,일신해운(주),WAO,02,O박지 O2 묘지,2023-10-06 12:05,2023-10-06 18:15,WAO,02,O박지 O2 묘지,2023-10-06 12:05,2023-10-06 18:15,접안대기,2023-10-10,허가완료
2144,170036,2023,84,1,438,17유성호,BSK9407,세양상사,MW5,01,5물량장 1선석,2023-10-07 04:20,2023-10-07 08:20,MW5,01,5물량장 1선석,2023-10-07 04:20,2023-10-07 08:20,접안대기,2023-10-10,허가완료
2146,224809,2023,66,1,791,동해씨스타,USZ2623,디에이치탱커 주식회사,MW5,01,5물량장 1선석,2023-10-07 15:10,2023-10-08 08:20,MW5,01,5물량장 1선석,2023-10-07 15:10,2023-10-08 08:20,접안대기,2023-10-10,허가완료
2148,224809,2023,66,3,791,동해씨스타,USZ2623,디에이치탱커 주식회사,MW5,01,5물량장 1선석,2023-10-08 13:20,2023-10-08 15:00,MW5,01,5물량장 1선석,2023-10-08 13:20,2023-10-08 15:00,접안대기,2023-10-10,허가완료
2151,224809,2023,66,4,791,동해씨스타,USZ2623,디에이치탱커 주식회사,MW5,01,5물량장 1선석,2023-10-08 16:50,2023-10-09 16:10,MW5,01,5물량장 1선석,2023-10-08 16:50,2023-10-09 16:10,접안대기,2023-10-10,허가완료
2154,224809,2023,66,5,791,동해씨스타,USZ2623,디에이치탱커 주식회사,MW5,01,5물량장 1선석,2023-10-09 20:40,2023-10-10 04:20,MW5,01,5물량장 1선석,2023-10-09 20:40,2023-10-10 04:20,접안대기,2023-10-10,허가완료
2163,130001,2023,33,36,415,동진에이스호,BSZ3488,부민마린 주식회사,MW5,01,5물량장 1선석,2023-10-04 22:30,2023-10-05 10:10,MW5,01,5물량장 1선석,2023-10-04 22:30,2023-10-05 10:10,접안대기,2023-10-10,허가완료
2166,130001,2023,33,39,415,동진에이스호,BSZ3488,부민마린 주식회사,MW5,01,5물량장 1선석,2023-10-06 02:15,2023-10-06 13:00,MW5,01,5물량장 1선석,2023-10-06 02:15,2023-10-06 13:00,접안대기,2023-10-10,허가완료
